,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
69786,2585.3,101.428,64.636,0.389,7.14,2.344,15/9-F-11 A
69787,2585.4,97.223,63.081,0.378,7.222,2.336,15/9-F-11 A
69788,2585.5,93.126,60.644,0.361,7.274,2.33,15/9-F-11 A
69789,2585.6,90.051,58.007,0.339,7.275,2.327,15/9-F-11 A
69790,2585.7,88.222,55.281,0.316,7.184,2.327,15/9-F-11 A
69791,2585.8,87.477,53.072,0.3,6.981,2.328,15/9-F-11 A
69792,2585.9,88.688,55.552,0.298,6.728,2.326,15/9-F-11 A
69793,2586.0,90.091,64.268,0.399,6.803,2.31,15/9-F-11 A
69794,2586.1,91.469,68.936,0.412,6.873,2.3,15/9-F-11 A
69795,2586.2,92.587,71.869,0.417,6.94,2.297,15/9-F-11 A
69796,2586.3,92.886,71.7,0.41,6.915,2.298,15/9-F-11 A
69797,2586.4,92.891,70.601,0.396,6.78,2.299,15/9-F-11 A
69798,2586.5,93.007,65.588,0.38,6.576,2.294,15/9-F-11 A
69799,2586.6,91.956,60.813,0.365,6.368,2.284,15/9-F-11 A
69800,2586.7,90.286,55.451,0.354,6.217,2.271,15/9-F-11 A
69801,2586.8,88.357,51.953,0.346,6.142,2.26,15/9-F-11 A
69802,2586.9,85.517,48.914,0.341,6.114,2.251,15/9-F-11 A
69803,2587.0,82.376,48.621,0.34,6.107,2.246,15/9-F-11 A
69804,2587.1,81.541,48.327,0.34,6.1,2.242,15/9-F-11 A
69805,2587.2,80.434,47.036,0.347,6.11,2.232,15/9-F-11 A
69806,2587.3,79.169,46.346,0.368,6.209,2.223,15/9-F-11 A
69807,2587.4,78.784,49.039,0.397,6.44,2.218,15/9-F-11 A
69808,2587.5,78.93,55.184,0.424,6.759,2.218,15/9-F-11 A
69809,2587.6,79.553,59.479,0.428,7.004,2.22,15/9-F-11 A
69810,2587.7,80.765,57.517,0.402,6.993,2.219,15/9-F-11 A
69811,2587.8,81.784,49.642,0.362,6.671,2.214,15/9-F-11 A
69812,2587.9,82.595,40.443,0.317,6.167,2.205,15/9-F-11 A
69813,2588.0,84.142,33.009,0.279,5.676,2.195,15/9-F-11 A
69814,2588.1,85.2,27.772,0.258,5.322,2.185,15/9-F-11 A
